18/04 22:37:54 INFO  Runner.initLogger - --- Updater started ---
18/04 22:37:54 INFO  Runner.main - args: [batch-install, D:\Utilitaire\PhpStorm 2018.3.3, C:\Users\thieu\.PhpStorm2018.3\system\tmp\patch-update\PS-183.5153.36-183.5429.47-patch-win.jar;C:\Users\thieu\.PhpStorm2018.3\system\tmp\patch-update\PS-183.5429.47-183.5912.26-patch-win.jar;C:\Users\thieu\.PhpStorm2018.3\system\tmp\patch-update\PS-183.5912.26-183.6156.29-patch-win.jar]
18/04 22:37:54 INFO  Runner.main - destFolder: D:\Utilitaire\PhpStorm 2018.3.3, case-sensitive: false
18/04 22:37:55 INFO  Runner.install - Extracting patch files...
18/04 22:37:55 INFO  Runner.install - Unpacking PS-183.5153.36-183.5429.47-patch-win.jar
18/04 22:37:55 INFO  Utils.getTempFile - created working directory: C:\Users\thieu\.PhpStorm2018.3\system\log\idea.updater.files.1820296162696514662
18/04 22:37:55 INFO  Utils.getZipEntry - entryPath: patch-file.zip
18/04 22:37:55 INFO  Runner.install - Unpacking PS-183.5429.47-183.5912.26-patch-win.jar
18/04 22:37:55 INFO  Utils.getZipEntry - entryPath: patch-file.zip
18/04 22:37:55 INFO  Runner.install - Unpacking PS-183.5912.26-183.6156.29-patch-win.jar
18/04 22:37:55 INFO  Utils.getZipEntry - entryPath: patch-file.zip
18/04 22:37:55 INFO  Runner.install - Backing up files...
18/04 22:37:55 INFO  Utils.copyDirectory - D:\Utilitaire\PhpStorm 2018.3.3 -> C:\Users\thieu\.PhpStorm2018.3\system\log\idea.updater.files.1820296162696514662\backup.tmp.0
18/04 22:37:55 INFO  Utils$2.preVisitDirectory -   D:\Utilitaire\PhpStorm 2018.3.3\bin -> C:\Users\thieu\.PhpStorm2018.3\system\log\idea.updater.files.1820296162696514662\backup.tmp.0\bin
18/04 22:37:55 INFO  Utils$2.visitFile -   D:\Utilitaire\PhpStorm 2018.3.3\bin\append.bat -> C:\Users\thieu\.PhpStorm2018.3\system\log\idea.updater.files.1820296162696514662\backup.tmp.0\bin\append.bat
18/04 22:37:55 INFO  Utils$2.visitFile -   D:\Utilitaire\PhpStorm 2018.3.3\bin\elevator.exe -> C:\Users\thieu\.PhpStorm2018.3\system\log\idea.updater.files.1820296162696514662\backup.tmp.0\bin\elevator.exe
18/04 22:37:55 INFO  Utils$2.visitFile -   D:\Utilitaire\PhpStorm 2018.3.3\bin\format.bat -> C:\Users\thieu\.PhpStorm2018.3\system\log\idea.updater.files.1820296162696514662\backup.tmp.0\bin\format.bat
18/04 22:37:55 INFO  Utils$2.visitFile -   D:\Utilitaire\PhpStorm 2018.3.3\bin\fsnotifier.exe -> C:\Users\thieu\.PhpStorm2018.3\system\log\idea.updater.files.1820296162696514662\backup.tmp.0\bin\fsnotifier.exe
18/04 22:37:55 INFO  Utils$2.visitFile -   D:\Utilitaire\PhpStorm 2018.3.3\bin\fsnotifier64.exe -> C:\Users\thieu\.PhpStorm2018.3\system\log\idea.updater.files.1820296162696514662\backup.tmp.0\bin\fsnotifier64.exe
18/04 22:37:55 INFO  Utils$2.visitFile -   D:\Utilitaire\PhpStorm 2018.3.3\bin\idea.properties -> C:\Users\thieu\.PhpStorm2018.3\system\log\idea.updater.files.1820296162696514662\backup.tmp.0\bin\idea.properties
18/04 22:37:55 INFO  Utils$2.visitFile -   D:\Utilitaire\PhpStorm 2018.3.3\bin\IdeaWin32.dll -> C:\Users\thieu\.PhpStorm2018.3\system\log\idea.updater.files.1820296162696514662\backup.tmp.0\bin\IdeaWin32.dll
18/04 22:37:55 INFO  Utils$2.visitFile -   D:\Utilitaire\PhpStorm 2018.3.3\bin\IdeaWin64.dll -> C:\Users\thieu\.PhpStorm2018.3\system\log\idea.updater.files.1820296162696514662\backup.tmp.0\bin\IdeaWin64.dll
18/04 22:37:55 INFO  Utils$2.visitFile -   D:\Utilitaire\PhpStorm 2018.3.3\bin\inspect.bat -> C:\Users\thieu\.PhpStorm2018.3\system\log\idea.updater.files.1820296162696514662\backup.tmp.0\bin\inspect.bat
18/04 22:37:55 INFO  Utils$2.visitFile -   D:\Utilitaire\PhpStorm 2018.3.3\bin\jumplistbridge.dll -> C:\Users\thieu\.PhpStorm2018.3\system\log\idea.updater.files.1820296162696514662\backup.tmp.0\bin\jumplistbridge.dll
18/04 22:37:55 INFO  Utils$2.visitFile -   D:\Utilitaire\PhpStorm 2018.3.3\bin\jumplistbridge64.dll -> C:\Users\thieu\.PhpStorm2018.3\system\log\idea.updater.files.1820296162696514662\backup.tmp.0\bin\jumplistbridge64.dll
18/04 22:37:55 INFO  Utils$2.visitFile -   D:\Utilitaire\PhpStorm 2018.3.3\bin\launcher.exe -> C:\Users\thieu\.PhpStorm2018.3\system\log\idea.updater.files.1820296162696514662\backup.tmp.0\bin\launcher.exe
18/04 22:37:55 INFO  Utils$2.visitFile -   D:\Utilitaire\PhpStorm 2018.3.3\bin\log.xml -> C:\Users\thieu\.PhpStorm2018.3\system\log\idea.updater.files.1820296162696514662\backup.tmp.0\bin\log.xml
18/04 22:37:55 INFO  Utils$2.visitFile -   D:\Utilitaire\PhpStorm 2018.3.3\bin\phpstorm.bat -> C:\Users\thieu\.PhpStorm2018.3\system\log\idea.updater.files.1820296162696514662\backup.tmp.0\bin\phpstorm.bat
18/04 22:37:55 INFO  Utils$2.visitFile -   D:\Utilitaire\PhpStorm 2018.3.3\bin\phpstorm.exe -> C:\Users\thieu\.PhpStorm2018.3\system\log\idea.updater.files.1820296162696514662\backup.tmp.0\bin\phpstorm.exe
18/04 22:37:55 INFO  Utils$2.visitFile -   D:\Utilitaire\PhpStorm 2018.3.3\bin\phpstorm.exe.vmoptions -> C:\Users\thieu\.PhpStorm2018.3\system\log\idea.updater.files.1820296162696514662\backup.tmp.0\bin\phpstorm.exe.vmoptions
18/04 22:37:55 INFO  Utils$2.visitFile -   D:\Utilitaire\PhpStorm 2018.3.3\bin\phpstorm.ico -> C:\Users\thieu\.PhpStorm2018.3\system\log\idea.updater.files.1820296162696514662\backup.tmp.0\bin\phpstorm.ico
18/04 22:37:55 INFO  Utils$2.visitFile -   D:\Utilitaire\PhpStorm 2018.3.3\bin\phpstorm.svg -> C:\Users\thieu\.PhpStorm2018.3\system\log\idea.updater.files.1820296162696514662\backup.tmp.0\bin\phpstorm.svg
18/04 22:37:55 INFO  Utils$2.visitFile -   D:\Utilitaire\PhpStorm 2018.3.3\bin\phpstorm64.exe -> C:\Users\thieu\.PhpStorm2018.3\system\log\idea.updater.files.1820296162696514662\backup.tmp.0\bin\phpstorm64.exe
18/04 22:37:55 INFO  Utils$2.visitFile -   D:\Utilitaire\PhpStorm 2018.3.3\bin\phpstorm64.exe.vmoptions -> C:\Users\thieu\.PhpStorm2018.3\system\log\idea.updater.files.1820296162696514662\backup.tmp.0\bin\phpstorm64.exe.vmoptions
18/04 22:37:55 INFO  Utils$2.visitFile -   D:\Utilitaire\PhpStorm 2018.3.3\bin\restarter.exe -> C:\Users\thieu\.PhpStorm2018.3\system\log\idea.updater.files.1820296162696514662\backup.tmp.0\bin\restarter.exe
18/04 22:37:55 INFO  Utils$2.visitFile -   D:\Utilitaire\PhpStorm 2018.3.3\bin\runnerw.exe -> C:\Users\thieu\.PhpStorm2018.3\system\log\idea.updater.files.1820296162696514662\backup.tmp.0\bin\runnerw.exe
18/04 22:37:55 INFO  Utils$2.visitFile -   D:\Utilitaire\PhpStorm 2018.3.3\bin\runnerw64.exe -> C:\Users\thieu\.PhpStorm2018.3\system\log\idea.updater.files.1820296162696514662\backup.tmp.0\bin\runnerw64.exe
18/04 22:37:55 INFO  Utils$2.visitFile -   D:\Utilitaire\PhpStorm 2018.3.3\bin\Uninstall.exe -> C:\Users\thieu\.PhpStorm2018.3\system\log\idea.updater.files.1820296162696514662\backup.tmp.0\bin\Uninstall.exe
18/04 22:37:55 INFO  Utils$2.visitFile -   D:\Utilitaire\PhpStorm 2018.3.3\bin\WinProcessListHelper.exe -> C:\Users\thieu\.PhpStorm2018.3\system\log\idea.updater.files.1820296162696514662\backup.tmp.0\bin\WinProcessListHelper.exe
18/04 22:37:55 INFO  Utils$2.visitFile -   D:\Utilitaire\PhpStorm 2018.3.3\bin\yjpagent.dll -> C:\Users\thieu\.PhpStorm2018.3\system\log\idea.updater.files.1820296162696514662\backup.tmp.0\bin\yjpagent.dll
18/04 22:37:55 INFO  Utils$2.visitFile -   D:\Utilitaire\PhpStorm 2018.3.3\bin\yjpagent64.dll -> C:\Users\thieu\.PhpStorm2018.3\system\log\idea.updater.files.1820296162696514662\backup.tmp.0\bin\yjpagent64.dll
18/04 22:37:55 INFO  Utils$2.visitFile -   D:\Utilitaire\PhpStorm 2018.3.3\build.txt -> C:\Users\thieu\.PhpStorm2018.3\system\log\idea.updater.files.1820296162696514662\backup.tmp.0\build.txt
18/04 22:37:55 INFO  Utils$2.preVisitDirectory -   D:\Utilitaire\PhpStorm 2018.3.3\help -> C:\Users\thieu\.PhpStorm2018.3\system\log\idea.updater.files.1820296162696514662\backup.tmp.0\help
18/04 22:37:55 INFO  Utils$2.visitFile -   D:\Utilitaire\PhpStorm 2018.3.3\help\ReferenceCard.pdf -> C:\Users\thieu\.PhpStorm2018.3\system\log\idea.updater.files.1820296162696514662\backup.tmp.0\help\ReferenceCard.pdf
18/04 22:37:55 INFO  Utils$2.visitFile -   D:\Utilitaire\PhpStorm 2018.3.3\help\ReferenceCardForMac.pdf -> C:\Users\thieu\.PhpStorm2018.3\system\log\idea.updater.files.1820296162696514662\backup.tmp.0\help\ReferenceCardForMac.pdf
18/04 22:37:55 INFO  Utils$2.preVisitDirectory -   D:\Utilitaire\PhpStorm 2018.3.3\jre64 -> C:\Users\thieu\.PhpStorm2018.3\system\log\idea.updater.files.1820296162696514662\backup.tmp.0\jre64
18/04 22:37:55 INFO  Utils$2.visitFile -   D:\Utilitaire\PhpStorm 2018.3.3\jre64\ASSEMBLY_EXCEPTION -> C:\Users\thieu\.PhpStorm2018.3\system\log\idea.updater.files.1820296162696514662\backup.tmp.0\jre64\ASSEMBLY_EXCEPTION
18/04 22:37:55 INFO  Utils$2.preVisitDirectory -   D:\Utilitaire\PhpStorm 2018.3.3\jre64\bin -> C:\Users\thieu\.PhpStorm2018.3\system\log\idea.updater.files.1820296162696514662\backup.tmp.0\jre64\bin
18/04 22:37:55 INFO  Utils$2.visitFile -   D:\Utilitaire\PhpStorm 2018.3.3\jre64\bin\api-ms-win-core-console-l1-1-0.dll -> C:\Users\thieu\.PhpStorm2018.3\system\log\idea.updater.files.1820296162696514662\backup.tmp.0\jre64\bin\api-ms-win-core-console-l1-1-0.dll
18/04 22:37:55 INFO  Utils$2.visitFile -   D:\Utilitaire\PhpStorm 2018.3.3\jre64\bin\api-ms-win-core-datetime-l1-1-0.dll -> C:\Users\thieu\.PhpStorm2018.3\system\log\idea.updater.files.1820296162696514662\backup.tmp.0\jre64\bin\api-ms-win-core-datetime-l1-1-0.dll
18/04 22:37:55 INFO  Utils$2.visitFile -   D:\Utilitaire\PhpStorm 2018.3.3\jre64\bin\api-ms-win-core-debug-l1-1-0.dll -> C:\Users\thieu\.PhpStorm2018.3\system\log\idea.updater.files.1820296162696514662\backup.tmp.0\jre64\bin\api-ms-win-core-debug-l1-1-0.dll
18/04 22:37:55 INFO  Utils$2.visitFile -   D:\Utilitaire\PhpStorm 2018.3.3\jre64\bin\api-ms-win-core-errorhandling-l1-1-0.dll -> C:\Users\thieu\.PhpStorm2018.3\system\log\idea.updater.files.1820296162696514662\backup.tmp.0\jre64\bin\api-ms-win-core-errorhandling-l1-1-0.dll
18/04 22:37:55 INFO  Utils$2.visitFile -   D:\Utilitaire\PhpStorm 2018.3.3\jre64\bin\api-ms-win-core-file-l1-1-0.dll -> C:\Users\thieu\.PhpStorm2018.3\system\log\idea.updater.files.1820296162696514662\backup.tmp.0\jre64\bin\api-ms-win-core-file-l1-1-0.dll
18/04 22:37:55 INFO  Utils$2.visitFile -   D:\Utilitaire\PhpStorm 2018.3.3\jre64\bin\api-ms-win-core-file-l1-2-0.dll -> C:\Users\thieu\.PhpStorm2018.3\system\log\idea.updater.files.1820296162696514662\backup.tmp.0\jre64\bin\api-ms-win-core-file-l1-2-0.dll
18/04 22:37:55 INFO  Utils$2.visitFile -   D:\Utilitaire\PhpStorm 2018.3.3\jre64\bin\api-ms-win-core-file-l2-1-0.dll -> C:\Users\thieu\.PhpStorm2018.3\system\log\idea.updater.files.1820296162696514662\backup.tmp.0\jre64\bin\api-ms-win-core-file-l2-1-0.dll
18/04 22:37:55 INFO  Utils$2.visitFile -   D:\Utilitaire\PhpStorm 2018.3.3\jre64\bin\api-ms-win-core-handle-l1-1-0.dll -> C:\Users\thieu\.PhpStorm2018.3\system\log\idea.updater.files.1820296162696514662\backup.tmp.0\jre64\bin\api-ms-win-core-handle-l1-1-0.dll
18/04 22:37:55 INFO  Utils$2.visitFile -   D:\Utilitaire\PhpStorm 2018.3.3\jre64\bin\api-ms-win-core-heap-l1-1-0.dll -> C:\Users\thieu\.PhpStorm2018.3\system\log\idea.updater.files.1820296162696514662\backup.tmp.0\jre64\bin\api-ms-win-core-heap-l1-1-0.dll
18/04 22:37:55 INFO  Utils$2.visitFile -   D:\Utilitaire\PhpStorm 2018.3.3\jre64\bin\api-ms-win-core-interlocked-l1-1-0.dll -> C:\Users\thieu\.PhpStorm2018.3\system\log\idea.updater.files.1820296162696514662\backup.tmp.0\jre64\bin\api-ms-win-core-interlocked-l1-1-0.dll
18/04 22:37:55 INFO  Utils$2.visitFile -   D:\Utilitaire\PhpStorm 2018.3.3\jre64\bin\api-ms-win-core-libraryloader-l1-1-0.dll -> C:\Users\thieu\.PhpStorm2018.3\system\log\idea.updater.files.1820296162696514662\backup.tmp.0\jre64\bin\api-ms-win-core-libraryloader-l1-1-0.dll
18/04 22:37:55 INFO  Utils$2.visitFile -   D:\Utilitaire\PhpStorm 2018.3.3\jre64\bin\api-ms-win-core-localization-l1-2-0.dll -> C:\Users\thieu\.PhpStorm2018.3\system\log\idea.updater.files.1820296162696514662\backup.tmp.0\jre64\bin\api-ms-win-core-localization-l1-2-0.dll
18/04 22:37:55 INFO  Utils$2.visitFile -   D:\Utilitaire\PhpStorm 2018.3.3\jre64\bin\api-ms-win-core-memory-l1-1-0.dll -> C:\Users\thieu\.PhpStorm2018.3\system\log\idea.updater.files.1820296162696514662\backup.tmp.0\jre64\bin\api-ms-win-core-memory-l1-1-0.dll
18/04 22:37:55 INFO  Utils$2.visitFile -   D:\Utilitaire\PhpStorm 2018.3.3\jre64\bin\api-ms-win-core-namedpipe-l1-1-0.dll -> C:\Users\thieu\.PhpStorm2018.3\system\log\idea.updater.files.1820296162696514662\backup.tmp.0\jre64\bin\api-ms-win-core-namedpipe-l1-1-0.dll
18/04 22:37:55 INFO  Utils$2.visitFile -   D:\Utilitaire\PhpStorm 2018.3.3\jre64\bin\api-ms-win-core-processenvironment-l1-1-0.dll -> C:\Users\thieu\.PhpStorm2018.3\system\log\idea.updater.files.1820296162696514662\backup.tmp.0\jre64\bin\api-ms-win-core-processenvironment-l1-1-0.dll
